----------------------------------------------------------------------------------------------------,
Accel-Sim-build,
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--all_kernels,NA
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--all_kernels,NA
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--all_kernels,NA
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--all_kernels,NA
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--all_kernels,NA
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--all_kernels,NA
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--all_kernels,NA
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--all_kernels,NA
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--all_kernels,NA
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--all_kernels,NA

----------------------------------------------------------------------------------------------------,
GPGPU-Sim-build,
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--all_kernels,gpgpu-sim_git-commit-667834cf_modified_0.0

----------------------------------------------------------------------------------------------------,
gpu_tot_sim_insn\s*=\s*(.*),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,10096992
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,1625698
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,29435920
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,4733667
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,524676
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,389632
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,4364332
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,1355104
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,9333244
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,23222432

----------------------------------------------------------------------------------------------------,
gpgpu_simulation_time\s*=.*\(([0-9]+) sec\).*,
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,46
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,67
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,95
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,33
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,89
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,92
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,60
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,26
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,44
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,497

----------------------------------------------------------------------------------------------------,
gpu_tot_sim_cycle\s*=\s*(.*),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,16025
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,119548
hotspot-rodinia-2.0-ft/30_6_40___data_result_30_6_40_txt--final_kernel,61078
heartwall-rodinia-2.0-ft/__data_test_avi_1___data_result_1_txt--final_kernel,8907
lud-rodinia-2.0-ft/_v__b__i___data_64_dat--final_kernel,189360
nw-rodinia-2.0-ft/128_10___data_result_128_10_txt--final_kernel,204595
nn-rodinia-2.0-ft/__data_filelist_4_3_30_90___data_filelist_4_3_30_90_result_txt--final_kernel,28190
pathfinder-rodinia-2.0-ft/1000_20_5___data_result_1000_20_5_txt--final_kernel,32617
srad_v2-rodinia-2.0-ft/__data_matrix128x128_txt_0_127_0_127__5_2___data_result_matrix128x128_1_150_1_100__5_2_txt--final_kernel,31334
streamcluster-rodinia-2.0-ft/3_6_16_1024_1024_100_none_output_txt_1___data_result_3_6_16_1024_1024_100_none_1_txt--final_kernel,1807661

----------------------------------------------------------------------------------------------------,
\s+L2_cache_stats_breakdown\[GLOBAL_ACC_R\]\[HIT\]\s*=\s*(.*),
APPS,QV100-PTX
backprop-rodinia-2.0-ft/4096___data_result_4096_txt--final_kernel,18932
bfs-rodinia-2.0-ft/__data_graph4096_txt___data_graph4096_result_txt--final_kernel,11166
